date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_190_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized
2023-01-01,ZCH03XDN,ST12000NM0007,12000138625024,0,71.0,89.0,100.0,86.0,68.0,100.0,57.0,100.0,43.0,71.0
2023-01-02,ZCH03XDN,ST12000NM0007,12000138625024,0,79.0,89.0,100.0,86.0,68.0,100.0,57.0,100.0,43.0,79.0
2023-01-03,ZCH03XDN,ST12000NM0007,12000138625024,0,79.0,89.0,100.0,86.0,68.0,100.0,57.0,100.0,43.0,79.0
2023-01-04,ZCH03XDN,ST12000NM0007,12000138625024,0,78.0,89.0,100.0,86.0,68.0,100.0,57.0,100.0,43.0,78.0
2023-01-05,ZCH03XDN,ST12000NM0007,12000138625024,0,76.0,89.0,100.0,86.0,68.0,100.0,57.0,100.0,43.0,76.0
2023-01-06,ZCH03XDN,ST12000NM0007,12000138625024,0,82.0,89.0,100.0,86.0,68.0,100.0,56.0,100.0,44.0,82.0
2023-01-07,ZCH03XDN,ST12000NM0007,12000138625024,0,82.0,89.0,100.0,86.0,68.0,100.0,56.0,100.0,44.0,82.0
2023-01-08,ZCH03XDN,ST12000NM0007,12000138625024,0,79.0,89.0,100.0,87.0,67.0,100.0,59.0,100.0,41.0,79.0
2023-01-09,ZCH03XDN,ST12000NM0007,12000138625024,0,66.0,89.0,100.0,87.0,67.0,100.0,57.0,100.0,43.0,66.0
2023-01-10,ZCH03XDN,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,87.0,67.0,100.0,58.0,100.0,42.0,81.0
2023-01-01,ZCH05317,ST12000NM0007,12000138625024,0,77.0,90.0,100.0,89.0,47.0,96.0,65.0,99.0,35.0,77.0
2023-01-02,ZCH05317,ST12000NM0007,12000138625024,0,81.0,90.0,100.0,89.0,47.0,96.0,66.0,99.0,34.0,81.0
2023-01-03,ZCH05317,ST12000NM0007,12000138625024,0,82.0,90.0,100.0,89.0,47.0,96.0,66.0,99.0,34.0,82.0
2023-01-04,ZCH05317,ST12000NM0007,12000138625024,0,83.0,90.0,100.0,89.0,47.0,96.0,66.0,99.0,34.0,83.0
2023-01-05,ZCH05317,ST12000NM0007,12000138625024,0,81.0,90.0,100.0,89.0,47.0,96.0,65.0,99.0,35.0,81.0
2023-01-06,ZCH05317,ST12000NM0007,12000138625024,0,82.0,90.0,100.0,89.0,47.0,96.0,66.0,99.0,34.0,82.0
2023-01-07,ZCH05317,ST12000NM0007,12000138625024,0,78.0,90.0,100.0,89.0,47.0,96.0,65.0,99.0,35.0,78.0
2023-01-08,ZCH05317,ST12000NM0007,12000138625024,0,83.0,90.0,100.0,89.0,47.0,91.0,65.0,99.0,35.0,83.0
2023-01-09,ZCH05317,ST12000NM0007,12000138625024,0,75.0,90.0,100.0,89.0,47.0,91.0,66.0,99.0,34.0,75.0
2023-01-10,ZCH05317,ST12000NM0007,12000138625024,0,78.0,90.0,100.0,89.0,47.0,91.0,66.0,99.0,34.0,78.0
2023-01-01,ZCH05JXQ,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,90.0,54.0,100.0,68.0,93.0,32.0,81.0
2023-01-02,ZCH05JXQ,ST12000NM0007,12000138625024,0,80.0,89.0,100.0,90.0,54.0,100.0,68.0,93.0,32.0,80.0
2023-01-03,ZCH05JXQ,ST12000NM0007,12000138625024,0,76.0,89.0,100.0,90.0,54.0,100.0,68.0,93.0,32.0,76.0
2023-01-04,ZCH05JXQ,ST12000NM0007,12000138625024,0,78.0,89.0,100.0,90.0,54.0,100.0,68.0,93.0,32.0,78.0
2023-01-05,ZCH05JXQ,ST12000NM0007,12000138625024,0,80.0,89.0,100.0,90.0,54.0,100.0,68.0,93.0,32.0,80.0
2023-01-06,ZCH05JXQ,ST12000NM0007,12000138625024,0,77.0,89.0,100.0,90.0,54.0,100.0,68.0,93.0,32.0,77.0
2023-01-07,ZCH05JXQ,ST12000NM0007,12000138625024,0,79.0,89.0,100.0,90.0,54.0,100.0,68.0,93.0,32.0,79.0
2023-01-08,ZCH05JXQ,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,90.0,54.0,100.0,67.0,93.0,33.0,83.0
